Team,Winrate,Elo,International Elo,LAN Winrate,K/D Ratio,Average Damage,Average Combat Score,Average First Kills,Average First Deaths Per Round,Rating,KAST,Clutch Success,Image Path,Region,id
Fluxo W7M,0.0,1454.2835838172002,1500.0,50.0,1.0,130.0,200.0,5.0,0.25,1.0,70.0,15.0,/static/logos/fluxo-w7m-logo.png,AMER,28
FunPlus Phoenix,33.33333333333333,1423.5230772265058,1482.7338749972334,0.0,1.0319519271060802,128.88925089072148,193.70528003586827,2.635710694534224,0.3118965334774158,0.9905166453916454,69.83321428027311,15.0,/static/logos/funplus-phoenix-logo.png,CN,29
G2 Esports,53.333333333333336,1602.9956618172278,1513.6075381609621,21.782178217821784,1.0804281270828755,134.93261405261404,204.30445776445777,3.942912642912643,2.64174467014467,1.049243179043179,72.8569037799807,42.10374149659864,/static/logos/g2-esports-logo.png,AMER,30
GIANTX,40.0,1467.2624344694746,1483.332449459007,40.59405940594059,0.9825753755217507,122.56293485381721,185.61137091122384,3.4023485991133047,0.39483278905190666,0.9392077844813139,69.5199708243826,33.680002405002405,/static/logos/giantx-logo.png,EMEA,31
Gambit Esports,80.0,1609.0104426401829,1609.0104426401829,81.18811881188118,1.4145753537398273,141.93114418476262,213.53452541610437,4.181954156954157,0.08336671369566107,1.1503729910440437,75.76548301844355,18.983957219251337,/static/logos/gambit-esports-logo.png,EMEA,32
Gen.G,53.333333333333336,1586.715903974585,1579.1255083447418,60.57692307692308,1.013440766102275,124.98994900524312,191.26461059637532,3.6686571598336304,0.6007699799111564,0.9536192049780285,71.20441184088243,35.7152133580705,/static/logos/gen.g-logo.png,Pacific,33
Gentle Mates,46.666666666666664,1509.081806356508,1519.9905693026878,38.77551020408163,1.03137253577308,127.61708735708736,195.5584978909979,3.7583352295852297,0.716330315055315,1.00582467994968,71.93686757686758,32.3210582010582,/static/logos/gentle-mates-logo.png,EMEA,34
Giants Gaming,33.33333333333333,1473.7623144320453,1473.7623144320453,34.92063492063492,0.9681592394533571,133.344266191325,198.8205585264409,3.540701128936423,0.09840522875816993,1.014840166369578,70.55876411170529,18.87566844919786,/static/logos/giants-gaming-logo.png,EMEA,35
Global Esports,46.666666666666664,1455.4223273476946,1428.5454086594698,18.81188118811881,1.0695980345566303,131.2968410347822,200.59760990371285,3.4283640515258162,1.6104640985648337,0.9968728400140165,70.5889829193138,31.445833333333336,/static/logos/global-esports-logo.png,Pacific,36
Guild Esports,50.0,1495.3186395280866,1495.3186395280866,50.0,1.1168263446112712,134.65297845536816,206.6855332167832,3.7616207322089674,0.09846224547511312,1.0392711975524476,73.05786584738792,13.768589743589743,/static/logos/guild-esports-logo.png,EMEA,37
JD Gaming,66.66666666666666,1555.338372690373,1500.0,50.0,1.0,130.0,200.0,5.0,0.25,1.0,70.0,15.0,/static/logos/jd-gaming-logo.png,CN,38
JDG Esports,40.0,1417.2867178008569,1500.0,50.0,0.9432027225139701,124.41375782337322,191.26028653885797,3.3243214193214197,2.829028253492539,0.9257866531616532,68.95966140167268,15.0,/static/logos/jd-gaming-logo.png,CN,39
Joblife,60.0,1511.3573707862074,1500.0,50.0,1.0,130.0,200.0,5.0,0.25,1.0,70.0,15.0,/static/logos/joblife-logo.png,EMEA,40
KOI,14.285714285714285,1366.6763317350349,1455.9855935219705,0.0,0.8896390749092955,123.06244647237294,184.64471511603867,3.2695175739293387,0.11380336534380653,0.8853656759906761,67.53457994211671,28.762037037037036,/static/logos/koi-logo.png,EMEA,41
KRÜ Esports,33.33333333333333,1412.8363577525226,1411.7924682951502,42.30769230769231,1.0146298694054612,126.9080341880342,191.15660191660191,4.20036778036778,3.4992272468272465,0.9735841491841492,70.21039627039627,33.22,/static/logos/kru-logo.png,AMER,42
Karmine Corp,66.66666666666666,1627.91015566393,1548.9389125308471,37.62376237623762,1.0494763142408128,128.39344645951456,196.13627831863127,3.4755242991156305,0.3294636970643162,0.9976242780267548,72.23306896062314,29.91979316979317,/static/logos/karmine-corp-logo.png,EMEA,43
