Team,Map,Wins,Played,Winrate
Gentle Mates,Fracture,2,7,28.57
Giants Gaming,Fracture,0,1,0.0
Global Esports,Fracture,0,1,0.0
Guild Esports,Fracture,1,2,50.0
JDG Esports,Fracture,3,7,42.86
KOI,Fracture,2,2,100.0
KRÜ Esports,Fracture,1,7,14.29
Karmine Corp,Fracture,2,6,33.33
Kiwoom DRX,Fracture,2,4,50.0
LEVIATÁN,Fracture,2,7,28.57
LOUD,Fracture,3,6,50.0
MIBR,Fracture,1,3,33.33
NORTHEPTION,Fracture,0,1,0.0
NRG,Fracture,5,10,50.0
Natus Vincere,Fracture,3,6,50.0
Ninjas In Pyjamas,Fracture,0,1,0.0
Nongshim RedForce,Fracture,2,6,33.33
Nova Esports,Fracture,3,7,42.86
OpTic Gaming,Fracture,7,11,63.64
PCIFIC Esports,Fracture,0,1,0.0
Paper Rex,Fracture,11,16,68.75
