Tournament,Stage,Match Type,Map,Team A,Team B,Team A Score,Team B Score
Esports World Cup 2026,Playoffs,Semifinals,Haven,BBL Esports,NRG,13,4
Esports World Cup 2026,Playoffs,Semifinals,Breeze,BBL Esports,NRG,12,14
Esports World Cup 2026,Playoffs,Semifinals,Lotus,BBL Esports,NRG,6,13
Esports World Cup 2026,Playoffs,Grand Final,Breeze,100 Thieves,NRG,13,7
Esports World Cup 2026,Playoffs,Grand Final,Sunset,100 Thieves,NRG,13,6
Esports World Cup 2026,Playoffs,Grand Final,Haven,100 Thieves,NRG,2,13
Esports World Cup 2026,Playoffs,Grand Final,Ascent,100 Thieves,NRG,14,12
Esports World Cup 2026,Playoffs,Consolation Final,Breeze,Nongshim RedForce,BBL Esports,13,10
Esports World Cup 2026,Playoffs,Consolation Final,Lotus,Nongshim RedForce,BBL Esports,13,11
VCT 2026: EMEA Stage 2,Group Stage,Week 1,Split,FUT Esports,Natus Vincere,6,13
VCT 2026: EMEA Stage 2,Group Stage,Week 1,Ascent,FUT Esports,Natus Vincere,9,13
VCT 2026: EMEA Stage 2,Group Stage,Week 1,Split,Team Liquid,Eternal Fire,6,13
VCT 2026: EMEA Stage 2,Group Stage,Week 1,Lotus,Team Liquid,Eternal Fire,2,13
VCT 2026: EMEA Stage 2,Group Stage,Week 1,Ascent,FNATIC,GIANTX,15,13
VCT 2026: EMEA Stage 2,Group Stage,Week 1,Sunset,FNATIC,GIANTX,13,9
VCT 2026: EMEA Stage 2,Group Stage,Week 1,Split,PCIFIC Esports,Gentle Mates,13,5
VCT 2026: EMEA Stage 2,Group Stage,Week 1,Sunset,PCIFIC Esports,Gentle Mates,5,13
VCT 2026: EMEA Stage 2,Group Stage,Week 1,Ascent,PCIFIC Esports,Gentle Mates,4,13
VCT 2026: EMEA Stage 2,Group Stage,Week 1,Sunset,Karmine Corp,Eternal Fire,13,6
VCT 2026: EMEA Stage 2,Group Stage,Week 1,Lotus,Karmine Corp,Eternal Fire,15,13
VCT 2026: EMEA Stage 2,Group Stage,Week 1,Sunset,Team Vitality,Natus Vincere,9,13
VCT 2026: EMEA Stage 2,Group Stage,Week 1,Breeze,Team Vitality,Natus Vincere,13,6
VCT 2026: EMEA Stage 2,Group Stage,Week 1,Split,Team Vitality,Natus Vincere,13,9
VCT 2026: EMEA Stage 2,Group Stage,Week 1,Sunset,Gentle Mates,FUT Esports,9,13
VCT 2026: EMEA Stage 2,Group Stage,Week 1,Haven,Gentle Mates,FUT Esports,12,14
VCT 2026: EMEA Stage 2,Group Stage,Week 1,Breeze,Team Heretics,Team Liquid,12,14
VCT 2026: EMEA Stage 2,Group Stage,Week 1,Ascent,Team Heretics,Team Liquid,10,13
VCT 2026: EMEA Stage 2,Group Stage,Week 1,Haven,GIANTX,Karmine Corp,8,13
VCT 2026: EMEA Stage 2,Group Stage,Week 1,Ascent,GIANTX,Karmine Corp,4,13
VCT 2026: EMEA Stage 2,Group Stage,Week 1,Haven,Team Vitality,BBL Esports,11,13
VCT 2026: EMEA Stage 2,Group Stage,Week 1,Split,Team Vitality,BBL Esports,11,13
VCT 2026: EMEA Stage 2,Group Stage,Week 2,Split,FUT Esports,PCIFIC Esports,13,10
VCT 2026: EMEA Stage 2,Group Stage,Week 2,Lotus,FUT Esports,PCIFIC Esports,12,14
VCT 2026: EMEA Stage 2,Group Stage,Week 2,Ascent,FUT Esports,PCIFIC Esports,13,1
VCT 2026: EMEA Stage 2,Group Stage,Week 2,Ascent,FNATIC,Karmine Corp,6,13
VCT 2026: EMEA Stage 2,Group Stage,Week 2,Split,FNATIC,Karmine Corp,17,15
VCT 2026: Pacific Stage 2,Group Stage,Week 2,Ascent,Global Esports,FULL SENSE,13,7
VCT 2026: Pacific Stage 2,Group Stage,Week 2,Summit,Global Esports,FULL SENSE,13,3
VCT 2026: Pacific Stage 2,Group Stage,Week 2,Split,T1,VARREL,12,14
VCT 2026: Pacific Stage 2,Group Stage,Week 2,Haven,T1,VARREL,10,13
